id,o_id,runs,delivery,extra_type,extras,batsman,bowler,score,for,wicket_ball,inn_id,m_id,t_id,c1,c2,c3,dots,c4,c6,ball_color
1,1,0,0.1,0,0,16,10,0,0,0,1,1,1,0,0,0,1,0,0,y
2,1,4,0.2,0,0,16,10,4,0,0,1,1,1,0,0,0,0,1,0,y
3,1,0,0.3,0,0,16,10,4,0,0,1,1,1,0,0,0,1,0,0,y
4,1,1,0.4,0,0,16,10,5,0,0,1,1,1,1,0,0,0,0,0,y
5,1,1,0.5,0,0,17,10,6,0,0,1,1,1,1,0,0,0,0,0,y
6,1,4,0.6,0,0,16,10,10,0,0,1,1,1,0,0,0,0,1,0,y
7,2,0,1.1,0,0,17,12,10,0,0,1,1,1,0,0,0,1,0,0,y
8,2,0,1.2,0,0,17,12,10,0,0,1,1,1,0,0,0,1,0,0,y
9,2,0,1.3,0,0,17,12,10,0,0,1,1,1,0,0,0,1,0,0,y
10,2,4,1.4,0,0,17,12,14,0,0,1,1,1,0,0,0,0,1,0,y
11,2,1,1.5,n,1,17,12,15,0,0,1,1,1,0,0,0,1,0,0,y
12,2,4,1.5,0,0,17,12,19,0,0,1,1,1,0,0,0,0,1,0,y
13,2,1,1.6,0,0,17,12,20,0,0,1,1,1,1,0,0,0,0,0,y
14,3,1,2.1,0,0,17,10,21,0,0,1,1,1,1,0,0,0,0,0,y
15,3,0,2.2,0,0,16,10,21,0,0,1,1,1,0,0,0,1,0,0,y
16,3,1,2.3,0,0,16,10,22,0,0,1,1,1,1,0,0,0,0,0,y
17,3,4,2.4,0,0,17,10,26,0,0,1,1,1,0,0,0,0,1,0,y
18,3,4,2.5,0,0,17,10,30,0,0,1,1,1,0,0,0,0,1,0,y
19,3,0,2.6,0,0,17,10,30,0,0,1,1,1,0,0,0,1,0,0,y
20,4,1,3.1,0,0,16,13,31,0,0,1,1,1,1,0,0,0,0,0,y
21,4,1,3.2,0,0,17,13,32,0,0,1,1,1,1,0,0,0,0,0,y
22,4,1,3.3,0,0,16,13,33,0,0,1,1,1,1,0,0,0,0,0,y
23,4,1,3.4,0,0,17,13,34,0,0,1,1,1,1,0,0,0,0,0,y
24,4,0,3.5,0,0,16,13,34,1,1,1,1,1,0,0,0,1,0,0,y
25,4,0,3.6,0,0,18,13,34,1,0,1,1,1,0,0,0,1,0,0,y
26,5,0,4.1,0,0,17,12,34,1,0,1,1,1,0,0,0,1,0,0,y
27,5,0,4.2,0,0,17,12,34,1,0,1,1,1,0,0,0,1,0,0,y
28,5,1,4.3,0,0,17,12,35,1,0,1,1,1,1,0,0,0,0,0,y
29,5,1,4.4,0,0,18,12,36,1,0,1,1,1,1,0,0,0,0,0,y
30,5,1,4.5,0,0,17,12,37,1,0,1,1,1,1,0,0,0,0,0,y
31,5,1,4.6,0,0,18,12,38,1,0,1,1,1,1,0,0,0,0,0,y
32,6,4,5.1,0,0,18,13,42,1,0,1,1,1,0,0,0,0,1,0,y
33,6,1,5.2,0,0,18,13,43,1,0,1,1,1,1,0,0,0,0,0,y
34,6,1,5.3,0,0,17,13,44,1,0,1,1,1,1,0,0,0,0,0,y
35,6,1,5.4,0,0,18,13,45,1,0,1,1,1,1,0,0,0,0,0,y
36,6,0,5.5,0,0,17,13,45,1,0,1,1,1,0,0,0,1,0,0,y
37,6,1,5.6,0,0,17,13,46,1,0,1,1,1,1,0,0,0,0,0,y
38,7,0,6.1,0,0,17,6,46,1,0,1,1,1,0,0,0,1,0,0,y
39,7,4,6.2,0,0,17,6,50,1,0,1,1,1,0,0,0,0,1,0,y
40,7,4,6.3,0,0,17,6,54,1,0,1,1,1,0,0,0,0,1,0,y
41,7,1,6.4,0,0,17,6,55,1,0,1,1,1,1,0,0,0,0,0,y
42,7,1,6.5,0,0,18,6,56,1,0,1,1,1,1,0,0,0,0,0,y
