p_id,innings,runs,balls,sr,avg,best,not_outs,dots,c1,c2,c3,c4,c6,c30,c50,c100
1,30,669,501,133.53,23.89,153,2,191,209,8,0,57,36,11,5,0
2,32,998,715,139.58,36.96,275,5,238,327,10,1,93,46,14,9,0
3,32,1021,730,139.86,37.81,78,5,254,319,11,0,98,48,14,8,0
4,23,703,475,148,41.35,197,6,161,206,5,1,64,38,11,5,0
5,13,210,123,170.73,23.33,134,4,39,48,3,2,18,13,3,1,0
6,29,538,371,145.01,31.65,145,12,103,178,14,0,62,14,7,2,0
7,14,330,211,156.4,33,68,4,73,84,2,0,35,17,3,2,0
8,19,300,211,142.18,25,123,7,78,84,3,0,33,13,4,0,0
9,19,386,234,164.96,32.17,161,7,73,96,4,0,42,19,4,3,0
10,6,50,37,135.14,16.67,48,3,18,10,0,0,7,2,0,0,0
11,1,27,27,100,0,35,1,14,7,2,0,4,0,0,0,0
12,3,24,22,109.09,24,221,2,10,6,3,0,3,0,0,0,0
13,2,1,12,8.33,0.5,221,0,11,1,0,0,0,0,0,0,0
14,2,5,11,45.45,2.5,50,0,7,3,1,0,0,0,0,0,0
15,3,2,10,20,0.67,31,0,8,2,0,0,0,0,0,0,0
16,12,229,162,141.36,20.82,204,1,68,59,0,0,20,15,3,2,0
17,3,82,63,130.16,27.33,1,0,27,22,1,0,10,3,1,0,0
18,23,689,473,145.67,32.81,191,2,163,207,5,2,55,41,9,8,0
19,15,564,383,147.26,43.38,157,2,125,173,2,1,54,28,10,4,1
20,3,23,25,92,7.67,1,0,11,11,0,0,3,0,0,0,0
21,4,55,37,148.65,18.33,1,1,17,9,1,0,8,2,0,0,0
22,8,93,59,157.63,18.6,166,3,22,21,1,0,10,5,1,0,0
23,13,231,143,161.54,28.88,209,5,43,63,2,0,23,12,4,1,0
24,3,18,16,112.5,18,110,2,8,6,0,0,0,2,0,0,0
25,3,0,4,0,0,104,1,4,0,0,0,0,0,0,0,0
26,4,15,10,150,15,233,3,3,3,2,0,2,0,0,0,0
27,6,31,32,96.88,10.33,175,3,16,11,1,0,3,1,0,0,0
28,26,552,456,121.05,21.23,130,0,184,188,7,0,56,21,8,2,0
29,37,1415,997,141.93,41.62,28,3,359,431,10,0,109,88,18,13,0
30,7,305,191,159.69,50.83,5,1,59,87,2,0,22,21,4,2,1
31,33,1077,620,173.71,48.95,178,11,182,258,14,0,102,63,17,10,0
32,24,579,384,150.78,36.19,174,8,114,179,7,0,59,25,10,2,0
33,23,292,195,149.74,29.2,125,13,70,73,7,1,31,13,3,0,0
34,7,82,84,97.62,13.67,280,1,35,40,1,0,4,4,1,0,0
35,4,2,8,25,0.67,236,1,7,0,1,0,0,0,0,0,0
36,2,22,18,122.22,0,14,2,5,10,0,0,3,0,0,0,0
37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,1,0,1,0,0,160,1,1,0,0,0,0,0,0,0,0
