apr,1,kl rahul,bat,r,0,0
apr,2,rohit sharma,bat,r,0,0
nov,3,virat kohli,bat,r,0,0
oct,4,rishab pant,bat,l,0,0
jan,5,vijay shankar,all,r,r,fast
oct,6,hardik pandya,all,r,r,fast
june,7,dinesh karthik,bat,r,0,0
july,8,ms dhoni,bat,r,0,0
dec,9,ravi jadeja,all,l,l,off
feb,10,bhuvneshwar kumar,bow,r,r,fast
dec,11,kuldeep yadav,bow,l,l,leg
dec,12,jasprit bumrah,bow,r,r,fast
july,13,yuzi chahal,bow,r,r,leg
sept,14,mohammad shami,bow,r,r,fast
mar,15,kedar jadhav,bat,r,r,off
apr,16,fakhar zaman,bat,l,0,0
dec,17,imam-ul-haq,bat,l,0,0
oct,18,babar azam,bat,r,0,0
oct,19,mohammad hafeez,all,r,r,off
jan,20,haris sohail,bat,l,l,off
may,21,sarfaraz ahmed,bat,r,0,0
dec,22,imad wasim,all,l,l,off
oct,23,shadab khan,all,r,r,leg
june,24,wahab riaz,bow,r,l,fast
apr,25,mohammad amir,bow,l,l,fast
apr,26,shaheen afridi,bow,l,l,fast
july,27,hassan ali,bow,r,r,fast
nov,28,aaron finch,bat,r,l,off
oct,29,david warner,bat,l,0,0
dec,30,usman khawaja,bat,l,0,0
june,31,steve smith,bat,r,0,0
oct,32,glenn maxwell,all,r,r,off
aug,33,marcus stoinis,all,r,r,fast
aug,34,alex carey,bat,l,0,0
may,35,pat cummins,bow,r,r,fast
jan,36,mitchell starc,bow,l,l,fast
apr,37,jason behrendorff,bow,l,l,fast
nov,38,nathon lyon,bow,r,r,off
mar,39,adam zampa,bow,r,r,leg
july,40,shaun marsh,bat,l,0,0
oct,41,nathan coulter-nile,bow,r,r,fast
apr,42,peter handscomb,bat,r,0,0
sept,43,martin guptill,bat,r,0,0
nov,44,henry nicholls,bat,l,0,0
aug,45,kane williamson,bat,r,r,off
mar,46,ross taylor,bat,r,0,0
apr,47,tom latham,bat,l,0,0
sept,48,jimmy neesham,all,l,r,fast
july,49,colin de grandhomme,all,r,r,fast
feb,50,mitchell santner,all,l,l,off
dec,51,matt henry,bow,r,r,fast
july,52,trent boult,bow,r,l,fast
june,53,lockie ferguson,bow,r,r,fast
dec,54,tim southee,bow,r,r,fast
oct,55,ish sodhi,bow,r,r,leg
sept,56,chris gayle,bat,l,r,off
dec,57,evin lewis,bat,l,0,0
nov,58,shai hope,bat,r,0,0
oct,59,nicolas pooran,bat,l,0,0
dec,60,shimron hetmyer,bat,l,0,0
apr,61,andre russell,all,r,r,fast
nov,62,jason holder,all,r,r,fast
july,63,carlos brathwaite,all,r,r,fast
may,64,fabian allen,all,r,l,off
aug,65,sheldon cottrell,bow,r,l,fast
june,66,kemar roach,bow,r,r,fast
feb,67,oshane thomas,bow,r,r,fast
apr,68,shanon gabriel,bow,r,r,fast
mar,69,sunil ambris,bat,r,0,0
mar,70,hashim amla,bat,r,0,0
dec,71,quinton de kock,bat,l,0,0
oct,72,aiden markram,bat,r,0,0
july,73,faf du plessis,bat,r,0,0
feb,74,van der dussen,bat,r,0,0
apr,75,jp duminy,bat,l,r,off
mar,76,dwaine pretorious,all,r,r,fast
mar,77,andile phehlukwayo,all,l,r,fast
may,78,kagiso rabada,bow,l,r,fast
mar,79,lungi ngidi,bow,r,r,fast
mar,80,imran tahir,bow,r,r,leg
apr,81,chris morris,all,r,r,fast
