id,bat_team_id,bow_team_id,inn_no,score,for,overs,m_id,t_id,c1,c2,c3,dots,c4,c6,wides,noballs,extras,ball_color
1,2,1,1,179,5,20,1,1,58,2,0,35,24,3,1,4,3,yy
2,1,2,2,180,3,17.3,1,1,43,1,1,37,14,12,1,6,4,yy
3,4,7,1,189,3,20,2,1,54,0,0,37,20,9,1,0,1,yy
4,7,4,2,187,7,20,2,1,50,2,0,39,24,6,0,2,1,yy
5,3,5,1,215,3,20,3,1,57,3,0,31,12,17,2,0,2,yy
6,5,3,2,145,9,20,3,1,42,3,0,57,9,10,0,2,1,yy
7,8,6,1,184,7,20,4,1,50,3,1,37,23,5,2,0,3,yy
8,6,8,2,168,6,20,4,1,65,1,0,32,18,4,3,2,5,yy
9,5,2,1,165,4,20,5,1,58,4,0,37,17,5,0,2,1,yg
10,2,5,2,155,7,20,5,1,47,1,0,51,17,6,0,4,2,yg
11,8,4,1,167,5,20,6,1,54,3,0,40,14,8,2,0,3,yy
12,4,8,2,168,7,20,6,1,49,3,0,43,20,5,1,2,3,yy
13,1,3,1,163,4,20,7,1,46,3,1,46,22,3,1,2,2,yr
14,3,1,2,132,7,20,7,1,52,2,0,51,8,7,2,0,2,yr
15,6,7,1,179,6,20,8,1,44,0,0,52,12,14,1,4,3,yy
16,7,6,2,170,4,20,8,1,59,2,0,36,16,7,1,0,1,yy
17,1,5,1,166,6,20,9,1,54,3,0,40,14,8,1,0,2,yy
18,5,1,2,130,9,20,9,1,49,0,0,54,11,6,1,0,1,yy
19,4,6,1,209,1,20,10,1,55,2,0,30,25,8,2,0,2,yg
20,6,4,2,186,7,20,10,1,53,3,0,37,19,8,1,2,3,yg
21,2,3,1,155,5,20,11,1,45,3,0,48,18,5,1,0,2,yy
22,3,2,2,143,6,20,11,1,51,1,0,50,9,9,0,0,0,yy
23,8,7,1,133,9,20,12,1,40,1,0,61,12,7,0,2,1,yr
24,7,8,2,134,4,16.2,12,1,41,1,0,39,9,9,0,2,1,yr
25,7,1,1,173,5,20,13,1,52,0,0,46,10,13,2,2,3,yr
26,1,7,2,173,5,20,13,1,53,0,0,42,15,10,0,0,0,yr
27,4,3,1,169,4,20,14,1,47,2,0,47,21,5,2,4,4,yg
28,3,4,2,173,1,17.4,14,1,47,1,0,37,20,6,3,10,8,yg
29,1,3,1,129,9,20,15,1,36,1,0,62,15,5,0,0,1,yy
30,3,1,2,132,4,16.5,15,1,41,5,0,40,12,5,1,4,3,yy
31,22,21,1,206,6,20,16,2,57,1,0,33,14,15,1,0,1,yz
32,21,22,2,199,3,20,16,2,60,0,0,31,18,11,1,0,1,yz
33,24,25,1,190,5,20,17,2,60,3,0,30,20,7,2,0,2,yy
34,25,24,2,136,10,19.4,17,2,64,7,0,34,12,1,4,0,4,yy
35,28,27,1,128,8,20,18,2,36,3,0,62,15,4,2,0,2,yg
36,27,28,2,129,3,13.5,18,2,31,0,0,33,8,11,0,0,0,yg
37,24,23,1,204,5,20,19,2,52,5,0,34,16,13,0,0,0,yr
38,23,24,2,206,5,20,19,2,55,3,0,33,19,11,0,4,3,yr
39,26,22,1,139,8,20,20,2,45,3,1,52,18,2,0,2,1,yy
40,22,26,2,141,7,15.2,20,2,32,3,0,36,12,9,1,0,1,yy
41,25,28,1,168,2,20,21,2,65,2,0,31,17,5,1,0,1,yz
42,28,25,2,170,1,17.5,21,2,57,2,1,26,14,8,1,2,2,yz
43,21,23,1,191,5,20,22,2,50,1,0,41,20,9,4,2,5,rz
44,23,21,2,127,7,20,22,2,49,2,0,53,12,4,2,0,2,rz
45,24,22,1,158,6,20,23,2,60,4,0,36,15,5,0,0,0,yy
46,22,24,2,161,5,19.1,23,2,58,2,1,32,19,3,2,0,2,yy
47,27,21,1,186,2,20,24,2,55,2,0,37,18,9,0,2,1,yg
48,21,27,2,173,6,20,24,2,62,0,1,35,17,6,3,2,4,yg
49,25,26,1,190,3,20,25,2,50,1,0,41,20,9,2,2,3,yy
50,26,25,2,121,10,19.2,25,2,35,9,0,57,11,4,0,0,0,yy
51,28,23,1,187,3,20,26,2,55,1,0,36,23,6,1,2,2,gz
52,23,28,2,172,1,20,26,2,63,3,1,30,20,3,2,0,2,gz
53,26,27,1,162,5,20,27,2,61,1,0,38,16,5,4,2,5,yr
54,27,26,2,166,5,17.4,27,2,46,0,0,37,16,9,0,4,2,yr
55,23,22,1,168,5,20,28,2,52,4,1,42,11,10,1,0,1,yy
56,22,23,2,171,2,17.4,28,2,45,2,0,34,22,5,2,4,4,yy
57,26,24,1,182,4,20,29,2,51,0,0,40,23,6,3,0,3,yg
58,24,26,2,138,8,20,29,2,54,4,0,45,13,4,0,0,0,yg
59,28,27,1,176,4,20,30,2,54,4,0,37,22,4,1,2,2,yy
60,27,28,2,178,4,18.5,30,2,49,1,0,37,20,7,2,4,5,yy
61,21,25,1,187,2,20,31,2,57,1,0,35,18,9,2,0,2,yr
62,25,21,2,191,6,19.4,31,2,57,2,0,33,14,12,2,0,2,yr
63,27,24,1,161,6,20,32,2,56,1,0,42,16,6,2,2,3,yz
64,24,27,2,164,5,18.5,32,2,58,2,0,32,16,6,1,2,2,yz
65,25,22,1,185,4,20,33,2,43,2,0,45,25,6,1,2,2,yg
66,22,25,2,153,7,20,33,2,55,1,0,43,15,6,0,0,0,yg
67,21,28,1,205,2,20,34,2,53,6,0,32,22,8,1,4,4,yr
68,28,21,2,184,6,20,34,2,42,4,0,46,17,11,0,0,0,yr
