id,over_no,balls,runs,wides,noballs,bowler,score,for,inn_id,m_id,t_id,c1,c2,c3,dots,c4,c6,extras,wickets,byes,ball_color
1,1,6,10,0,0,10,10,0,1,1,1,2,0,0,2,2,0,0,0,0,y
2,2,6,10,0,1,12,20,0,1,1,1,1,0,0,4,2,0,1,0,0,y
3,3,6,10,0,0,10,30,0,1,1,1,2,0,0,2,2,0,0,0,0,y
4,4,6,4,0,0,13,34,1,1,1,1,4,0,0,2,0,0,0,1,0,y
5,5,6,4,0,0,12,38,1,1,1,1,4,0,0,2,0,0,0,0,0,y
6,6,6,8,0,0,13,46,1,1,1,1,4,0,0,1,1,0,0,0,0,y
7,7,6,10,0,0,6,56,2,1,1,1,2,0,0,2,2,0,0,1,0,y
8,8,6,11,0,1,11,67,2,1,1,1,4,1,0,1,1,0,1,0,0,y
9,9,6,4,0,0,6,71,3,1,1,1,4,0,0,2,0,0,0,1,0,y
10,10,6,8,1,0,11,79,3,1,1,1,3,0,0,2,1,0,1,0,0,y
11,11,6,10,0,0,6,89,3,1,1,1,4,0,0,1,0,1,0,0,0,y
12,12,6,11,0,0,11,100,3,1,1,1,3,0,0,1,2,0,0,0,0,y
13,13,6,2,0,0,6,102,4,1,1,1,2,0,0,4,0,0,0,1,0,y
14,14,6,8,0,0,13,110,4,1,1,1,4,0,0,1,1,0,0,0,0,y
15,15,6,12,0,0,11,122,4,1,1,1,4,0,0,0,2,0,0,0,0,y
16,16,6,6,0,0,13,128,4,1,1,1,4,1,0,1,0,0,0,0,0,y
17,17,6,10,0,0,12,138,4,1,1,1,4,0,0,1,0,1,0,0,0,y
18,18,6,17,0,0,10,155,4,1,1,1,1,0,0,1,4,0,0,0,0,y
19,19,6,11,0,0,12,166,5,1,1,1,1,0,0,3,1,1,0,1,0,y
20,20,6,13,0,0,10,179,5,1,1,1,1,0,0,2,3,0,0,0,0,y
21,1,6,15,0,0,25,15,0,2,1,1,1,0,0,2,2,1,0,0,0,y
22,2,6,2,0,0,22,17,1,2,1,1,2,0,0,4,0,0,0,1,0,y
23,3,6,7,0,0,25,24,2,2,1,1,1,0,0,4,0,1,0,1,0,y
24,4,6,13,0,0,22,37,2,2,1,1,1,0,0,3,0,2,0,0,0,y
25,5,6,9,0,0,27,46,2,2,1,1,3,0,0,2,0,1,0,0,0,y
26,6,6,7,0,0,22,53,2,2,1,1,3,0,0,2,1,0,0,0,0,y
27,7,6,7,0,0,23,60,2,2,1,1,3,0,0,2,1,0,0,0,0,y
28,8,6,5,0,0,22,65,2,2,1,1,5,0,0,1,0,0,0,0,0,y
29,9,6,8,0,1,23,73,2,2,1,1,3,0,0,3,1,0,1,0,0,y
30,10,6,5,0,0,24,78,2,2,1,1,5,0,0,1,0,0,0,0,0,y
31,11,6,6,1,0,23,84,2,2,1,1,5,0,0,1,0,0,1,0,0,y
32,12,6,5,0,0,19,89,2,2,1,1,5,0,0,1,0,0,0,0,0,y
33,13,6,16,0,0,24,105,3,2,1,1,0,0,0,3,1,2,0,1,0,y
34,14,6,21,0,2,27,126,3,2,1,1,1,1,0,3,1,2,2,0,0,y
35,15,6,7,0,0,23,133,3,2,1,1,3,0,0,2,1,0,0,0,0,y
36,16,6,18,0,0,25,151,3,2,1,1,1,0,1,1,2,1,0,0,0,y
37,17,6,21,0,0,24,172,3,2,1,1,1,0,0,1,2,2,0,0,0,y
38,18,3,8,0,0,25,180,3,2,1,1,0,0,0,1,2,0,0,0,0,y
39,1,6,6,0,0,89,6,1,3,2,1,2,0,0,3,1,0,0,1,0,y
40,2,6,16,0,0,91,22,1,3,2,1,0,0,0,3,1,2,0,0,0,y
41,3,6,14,0,0,89,36,1,3,2,1,0,0,0,3,2,1,0,0,0,y
42,4,6,12,0,0,91,48,1,3,2,1,2,0,0,2,1,1,0,0,0,y
43,5,6,11,0,0,93,59,1,3,2,1,1,0,0,3,1,1,0,0,0,y
44,6,6,2,0,0,87,61,2,3,2,1,2,0,0,4,0,0,0,1,0,y
45,7,6,6,0,0,92,67,2,3,2,1,6,0,0,0,0,0,0,0,0,y
46,8,6,14,1,0,87,81,2,3,2,1,3,0,0,1,1,1,1,0,0,y
47,9,6,6,0,0,92,87,2,3,2,1,6,0,0,0,0,0,0,0,0,y
48,10,6,12,0,0,93,99,2,3,2,1,2,0,0,2,1,1,0,0,0,y
