id,inn_id,m_id,t_id,b1,b2,runs,balls,c1,c2,c3,dots,c4,c6,sr,for_wicket,unbeaten,bow_team,bat_team,b1s,b2s,b1b,b2b
1,1,1,1,16,17,34,23,9,0,0,9,6,0,147.83,1,3.5,1,2,12,21,10,14
2,1,1,1,18,17,22,19,10,0,0,6,3,0,115.79,2,6.6,1,2,9,13,7,12
3,1,1,1,18,19,15,12,8,1,0,3,1,0,125,3,8.6,1,2,4,10,6,7
4,1,1,1,20,19,31,22,12,0,0,6,3,1,140.91,4,12.4,1,2,14,16,12,10
5,1,1,1,21,19,54,34,18,1,0,7,7,1,158.82,5,18.2,1,2,28,26,19,15
6,1,1,1,22,19,23,10,1,0,0,4,4,1,230,6,0,1,2,10,13,4,6
7,2,1,1,1,2,17,11,3,0,0,5,2,1,154.55,1,1.5,2,1,6,11,8,3
8,2,1,1,3,2,0,3,0,0,0,3,0,0,0,2,2.2,2,1,0,0,1,2
9,2,1,1,3,4,88,63,34,0,0,20,4,6,139.68,3,12.5,2,1,26,60,26,38
10,2,1,1,3,5,75,28,6,1,1,9,8,5,267.86,4,0,2,1,47,26,19,11
11,3,2,1,43,44,2,5,2,0,0,3,0,0,40,1,0.5,7,4,1,1,2,3
12,3,2,1,45,44,58,27,4,0,0,12,6,5,214.81,2,5.2,7,4,31,27,15,12
13,3,2,1,45,46,85,61,38,0,0,13,7,3,139.34,3,15.3,7,4,38,46,31,30
14,3,2,1,45,48,44,27,10,0,0,9,7,1,162.96,4,0,7,4,23,21,11,16
15,4,2,1,83,84,56,40,18,1,0,13,6,2,140,1,6.4,4,7,27,29,21,19
16,4,2,1,85,84,22,15,8,0,0,4,2,1,146.67,2,9.1,4,7,11,11,7,8
17,4,2,1,85,86,0,1,0,0,0,1,0,0,0,3,9.2,4,7,0,0,0,1
18,4,2,1,85,87,90,50,21,1,0,14,12,3,180,4,17.4,4,7,56,33,29,22
19,4,2,1,88,87,5,3,1,0,0,1,1,0,166.67,5,18.1,4,7,1,4,2,1
20,4,2,1,94,87,0,1,0,0,0,1,0,0,0,6,18.2,4,7,0,0,1,0
21,4,2,1,89,87,0,1,0,0,0,1,0,0,0,7,18.3,4,7,0,0,1,0
22,4,2,1,91,87,14,9,2,0,0,4,3,0,155.56,8,0,4,7,0,14,3,6
23,5,3,1,28,29,20,16,6,0,0,7,2,1,125,1,2.4,5,3,6,14,7,9
24,5,3,1,30,29,153,82,45,1,0,16,8,12,186.59,2,16.2,5,3,79,72,40,42
25,5,3,1,30,32,24,11,2,2,0,4,0,3,218.18,3,18.1,5,3,9,15,3,8
26,5,3,1,30,33,18,11,4,0,0,4,2,1,163.64,4,0,5,3,15,3,7,4
27,6,3,1,56,57,3,6,3,0,0,3,0,0,50,1,0.6,3,5,2,1,4,2
28,6,3,1,56,58,24,20,8,0,0,9,1,2,120,2,4.2,3,5,6,18,13,7
29,6,3,1,56,59,0,6,0,0,0,6,0,0,0,3,5.2,3,5,0,0,2,4
30,6,3,1,60,59,12,4,0,0,0,2,0,2,300,4,5.6,3,5,12,0,4,0
31,6,3,1,62,59,18,8,2,0,0,3,1,2,225,5,7.2,3,5,16,2,6,2
32,6,3,1,61,59,49,32,13,0,0,11,6,2,153.12,6,12.4,3,5,31,18,18,14
33,6,3,1,64,59,6,8,6,0,0,2,0,0,75,7,13.6,3,5,3,3,4,4
34,6,3,1,64,65,1,8,1,0,0,7,0,0,12.5,8,15.2,3,5,1,0,7,1
35,6,3,1,66,65,14,15,5,1,0,9,0,1,93.33,9,17.5,3,5,4,9,6,10
36,6,3,1,66,67,18,13,4,2,0,5,1,1,138.46,10,0,3,5,3,15,6,7
37,7,4,1,96,97,70,40,15,1,0,13,7,4,175,1,6.4,6,8,49,20,20,20
38,7,4,1,96,98,21,17,8,0,0,6,3,0,123.53,2,9.3,6,8,8,12,7,10
39,7,4,1,99,98,9,5,1,0,0,2,2,0,180,3,10.2,6,8,5,4,4,1
40,7,4,1,100,98,5,7,5,0,0,2,0,0,71.43,4,11.3,6,8,3,2,4,3
41,7,4,1,101,98,15,15,7,0,0,6,2,0,100,5,13.6,6,8,8,7,7,8
42,7,4,1,101,102,2,3,2,0,0,1,0,0,66.67,6,14.3,6,8,1,1,2,1
43,7,4,1,105,102,56,31,12,2,1,7,9,0,180.65,7,19.4,6,8,32,23,18,13
44,7,4,1,105,104,6,2,0,0,0,1,0,1,300,8,0,6,8,0,6,0,2
45,8,4,1,71,70,14,10,5,0,0,3,2,0,140,1,1.4,8,6,6,7,5,5
46,8,4,1,72,70,9,11,9,0,0,2,0,0,81.82,2,3.3,8,6,5,4,5,6
47,8,4,1,72,73,8,8,4,0,0,3,1,0,100,3,4.5,8,6,1,7,2,6
48,8,4,1,74,73,91,68,40,0,0,18,9,2,133.82,4,16.1,8,6,52,36,40,29
49,8,4,1,74,75,17,8,2,0,0,3,2,1,212.5,5,17.3,8,6,0,16,3,5
50,8,4,1,77,75,4,2,0,0,0,1,1,0,200,6,17.5,8,6,0,4,0,2
51,8,4,1,77,81,25,13,5,1,0,3,3,1,192.31,7,0,8,6,15,10,8,5
