p_id,m_id,won,captain,team_id
11,1,1,0,1
12,1,1,0,1
10,1,1,0,1
13,1,1,0,1
6,1,1,0,1
16,1,0,0,2
17,1,0,0,2
18,1,0,0,2
20,1,0,0,2
21,1,0,1,2
22,1,0,0,2
19,1,0,0,2
1,1,1,0,1
2,1,1,0,1
4,1,1,0,1
3,1,1,1,1
5,1,1,0,1
25,1,0,0,2
27,1,0,0,2
24,1,0,0,2
23,1,0,0,2
94,2,0,0,7
91,2,0,0,7
92,2,0,0,7
93,2,0,0,7
87,2,0,0,7
89,2,0,0,7
43,2,1,0,4
44,2,1,0,4
46,2,1,0,4
45,2,1,1,4
48,2,1,0,4
83,2,0,0,7
84,2,0,0,7
86,2,0,1,7
85,2,0,0,7
88,2,0,0,7
53,2,1,0,4
51,2,1,0,4
52,2,1,0,4
50,2,1,0,4
49,2,1,0,4
67,3,0,0,5
64,3,0,0,5
61,3,0,0,5
65,3,0,0,5
62,3,0,1,5
66,3,0,0,5
28,3,1,1,3
29,3,1,0,3
32,3,1,0,3
30,3,1,0,3
33,3,1,0,3
57,3,0,0,5
58,3,0,0,5
56,3,0,0,5
60,3,0,0,5
59,3,0,0,5
38,3,1,0,3
35,3,1,0,3
36,3,1,0,3
37,3,1,0,3
77,4,0,0,6
75,4,0,0,6
78,4,0,0,6
80,4,0,0,6
81,4,0,0,6
79,4,0,0,6
97,4,1,0,8
96,4,1,0,8
99,4,1,0,8
100,4,1,0,8
98,4,1,0,8
101,4,1,0,8
102,4,1,0,8
105,4,1,0,8
104,4,1,1,8
71,4,0,0,6
70,4,0,0,6
72,4,0,0,6
73,4,0,1,6
74,4,0,0,6
103,4,1,0,8
106,4,1,0,8
26,5,0,0,2
19,5,0,0,2
22,5,0,0,2
25,5,0,0,2
23,5,0,0,2
24,5,0,0,2
56,5,1,0,5
57,5,1,0,5
58,5,1,0,5
60,5,1,0,5
63,5,1,0,5
59,5,1,0,5
17,5,0,0,2
18,5,0,0,2
20,5,0,0,2
16,5,0,0,2
21,5,0,1,2
65,5,1,0,5
62,5,1,1,5
64,5,1,0,5
67,5,1,0,5
68,5,1,0,5
48,6,1,0,4
50,6,1,0,4
51,6,1,0,4
53,6,1,0,4
52,6,1,0,4
96,6,0,0,8
98,6,0,0,8
97,6,0,0,8
