bowler,overs,maidens,runs,wickets,er,sr,avg,wides,noballs,team_id,dots,c1,c2,c3,c4,c6,inn_id,m_id,t_id
11,4,0,42,0,10.5,-1,-1,1,1,1,4,14,1,0,6,0,1,1,1
12,4,0,35,1,8.75,24,35,0,1,1,10,10,0,0,3,2,1,1,1
10,4,0,50,0,12.5,-1,-1,0,0,1,7,6,0,0,11,0,1,1,1
13,4,0,26,1,6.5,24,26,0,0,1,5,16,1,0,2,0,1,1,1
6,4,0,26,3,6.5,8,8.67,0,0,1,9,12,0,0,2,1,1,1,1
19,1,0,5,0,5,-1,-1,0,0,2,1,5,0,0,0,0,2,1,1
25,3.3,0,48,1,13.71,21,48,0,0,2,8,3,0,1,6,3,2,1,1
27,2,0,30,0,15,-1,-1,0,2,2,5,4,1,0,1,3,2,1,1
24,3,0,42,1,14,18,42,0,0,2,5,6,0,0,3,4,2,1,1
23,4,0,28,0,7,-1,-1,1,1,2,8,14,0,0,3,0,2,1,1
22,4,0,27,1,6.75,24,27,0,0,2,10,11,0,0,1,2,2,1,1
94,1,0,11,0,11,-1,-1,0,0,7,1,3,0,0,2,0,3,2,1
91,4,0,47,1,11.75,24,47,0,0,7,9,7,0,0,4,4,3,2,1
92,4,0,24,0,6,-1,-1,0,0,7,3,20,0,0,1,0,3,2,1
93,3,0,34,0,11.33,-1,-1,0,0,7,6,6,0,0,4,2,3,2,1
87,4,0,37,1,9.25,24,37,1,0,7,7,12,0,0,3,2,3,2,1
89,4,0,36,1,9,24,36,0,0,7,11,6,0,0,6,1,3,2,1
48,3,0,32,1,10.67,18,32,0,0,4,3,10,0,0,4,1,4,2,1
53,4,0,52,1,13,24,52,0,0,4,9,4,0,0,9,2,4,2,1
51,4,0,38,0,9.5,-1,-1,0,1,4,7,11,2,0,4,1,4,2,1
52,4,1,31,3,7.75,8,10.33,0,0,4,12,7,0,0,3,2,4,2,1
50,4,0,22,2,5.5,12,11,0,0,4,8,14,0,0,2,0,4,2,1
49,1,0,12,0,12,-1,-1,0,0,4,0,4,0,0,2,0,4,2,1
67,4,0,52,0,13,-1,-1,1,0,5,4,11,2,0,3,4,5,3,1
64,2,0,28,0,14,-1,-1,0,0,5,2,6,0,0,1,3,5,3,1
61,3,0,28,0,9.33,-1,-1,1,0,5,4,11,0,0,1,2,5,3,1
65,4,0,39,2,9.75,12,19.5,0,0,5,11,7,0,0,2,4,5,3,1
62,3,0,34,1,11.33,18,34,0,0,5,5,8,0,0,2,3,5,3,1
66,4,0,34,0,8.5,-1,-1,0,0,5,5,14,1,0,3,1,5,3,1
38,4,0,31,0,7.75,-1,-1,0,1,3,13,8,0,0,1,3,6,3,1
35,4,0,38,4,9.5,6,9.5,0,0,3,13,4,1,0,2,4,6,3,1
36,4,0,30,1,7.5,24,30,0,0,3,10,10,0,0,2,2,6,3,1
37,4,0,11,3,2.75,8,3.67,0,0,3,13,11,0,0,0,0,6,3,1
33,4,0,35,1,8.75,24,35,0,0,3,8,9,2,0,4,1,6,3,1
77,4,0,31,3,7.75,8,10.33,0,0,6,8,11,0,0,5,0,7,4,1
75,2,0,10,1,5,12,10,0,0,6,5,6,0,0,1,0,7,4,1
78,3,0,42,0,14,-1,-1,0,0,6,4,6,0,0,6,2,7,4,1
80,4,0,35,1,8.75,24,35,0,0,6,7,11,0,0,6,0,7,4,1
81,3,0,26,0,8.67,-1,-1,1,0,6,5,9,0,0,4,0,7,4,1
79,4,0,39,2,9.75,12,19.5,1,0,6,8,7,3,1,1,3,7,4,1
104,4,0,29,1,7.25,24,29,2,1,8,5,18,0,0,2,0,8,4,1
103,4,0,29,3,7.25,8,9.67,1,0,8,8,12,0,0,4,0,8,4,1
105,4,0,34,0,8.5,-1,-1,0,0,8,7,12,0,0,4,1,8,4,1
