id,b_id,batsman,bowler,method,fielder,o_id,inn_id,m_id,t_id,bat_team,bow_team,score,for,overs,ball_color
1,24,16,13,b,0,4,1,1,1,2,1,34,1,3.5,y
2,43,17,6,c,5,7,1,1,1,2,1,56,2,6.6,y
3,56,18,6,b,0,9,1,1,1,2,1,71,3,8.6,y
4,79,20,6,c,4,13,1,1,1,2,1,102,4,12.4,y
5,113,21,12,c,1,19,1,1,1,2,1,156,5,18.2,y
6,134,1,22,b,0,22,2,1,1,1,2,17,1,1.5,y
7,137,2,25,b,0,23,2,1,1,1,2,17,2,2.2,y
8,202,4,24,b,0,33,2,1,1,1,2,105,3,12.5,y
9,237,43,89,b,0,39,3,2,1,4,7,2,1,0.5,y
10,264,44,87,c,85,44,3,2,1,4,7,60,2,5.2,y
11,326,46,91,c,87,54,3,2,1,4,7,145,3,15.3,y
12,393,83,53,b,0,65,4,2,1,7,4,56,1,6.4,y
13,408,84,50,b,0,68,4,2,1,7,4,78,2,9.1,y
14,409,86,50,b,0,68,4,2,1,7,4,78,3,9.2,y
15,460,85,48,b,0,76,4,2,1,7,4,168,4,17.4,y
16,463,88,52,b,0,77,4,2,1,7,4,173,5,18.1,y
17,464,94,52,b,0,77,4,2,1,7,4,173,6,18.2,y
18,465,89,52,b,0,77,4,2,1,7,4,173,7,18.3,y
19,490,28,65,b,0,81,5,3,1,3,5,20,1,2.4,y
20,574,29,65,b,0,95,5,3,1,3,5,173,2,16.2,y
21,585,32,62,b,0,97,5,3,1,3,5,197,3,18.1,y
22,602,57,37,b,0,99,6,3,1,5,3,3,1,0.6,y
23,622,58,37,b,0,103,6,3,1,5,3,27,2,4.2,y
24,628,56,35,b,0,104,6,3,1,5,3,27,3,5.2,y
25,632,60,35,b,0,104,6,3,1,5,3,39,4,5.6,y
26,640,62,35,b,0,106,6,3,1,5,3,57,5,7.2,y
27,672,61,33,b,0,111,6,3,1,5,3,106,6,12.4,y
28,680,59,37,b,0,112,6,3,1,5,3,112,7,13.6,y
29,688,64,35,b,0,114,6,3,1,5,3,113,8,15.2,y
30,704,65,36,b,0,116,6,3,1,5,3,127,9,17.5,y
31,758,97,75,b,0,125,7,4,1,8,6,70,1,6.4,y
32,776,96,77,b,0,128,7,4,1,8,6,91,2,9.3,y
33,781,99,80,lbw,0,129,7,4,1,8,6,100,3,10.2,y
34,788,100,77,lbw,0,130,7,4,1,8,6,105,4,11.3,y
35,803,98,77,b,0,132,7,4,1,8,6,120,5,13.6,y
36,806,101,79,b,0,133,7,4,1,8,6,122,6,14.3,y
37,837,102,79,b,0,138,7,4,1,8,6,178,7,19.4,y
38,850,71,103,b,0,140,8,4,1,6,8,14,1,1.4,y
39,861,70,98,b,0,142,8,4,1,6,8,23,2,3.3,y
40,869,72,104,b,0,143,8,4,1,6,8,31,3,4.5,y
41,940,73,106,b,0,155,8,4,1,6,8,122,4,16.1,y
42,948,74,103,c,102,156,8,4,1,6,8,139,5,17.3,y
43,950,75,103,b,0,156,8,4,1,6,8,143,6,17.5,y
44,998,56,26,b,0,164,9,5,1,5,2,54,1,5.4,g
45,1038,57,22,b,0,171,9,5,1,5,2,90,2,12.2,y
46,1042,58,22,lbw,0,171,9,5,1,5,2,91,3,12.6,y
47,1068,60,26,b,0,176,9,5,1,5,2,138,4,17.2,g
48,1110,17,67,b,0,183,10,5,1,2,5,39,1,4.1,y
49,1122,18,67,b,0,185,10,5,1,2,5,53,2,6.1,y
50,1174,19,64,lbw,0,193,10,5,1,2,5,122,3,14.4,y
51,1188,20,63,c,37,195,10,5,1,2,5,132,4,16.6,y
52,1189,22,65,b,0,196,10,5,1,2,5,132,5,17.1,g
53,1195,16,67,b,0,197,10,5,1,2,5,140,6,18.1,y
54,1200,21,67,b,0,197,10,5,1,2,5,147,7,18.6,y
55,1223,96,52,b,0,201,11,6,1,8,4,20,1,2.5,y
56,1245,98,53,b,0,205,11,6,1,8,4,44,2,6.3,y
57,1280,97,48,b,0,211,11,6,1,8,4,86,3,12.1,y
58,1306,99,52,b,0,215,11,6,1,8,4,139,4,16.2,y
59,1319,102,52,lbw,0,217,11,6,1,8,4,149,5,18.3,y
60,1349,43,105,b,0,222,12,6,1,4,8,30,1,3.2,y
61,1376,45,98,b,0,226,12,6,1,4,8,63,2,7.4,y
62,1395,46,104,c,100,229,12,6,1,4,8,80,3,10.5,y
63,1404,44,104,b,0,231,12,6,1,4,8,100,4,12.2,y
64,1407,47,104,b,0,231,12,6,1,4,8,101,5,12.5,y
65,1417,48,103,c,97,233,12,6,1,4,8,112,6,14.3,y
