id,over_no,score,for,ball_color,bowler_id,inn_id,m_id,t_id
7269,1,7,0,y,164,375,188,7
7270,2,13,0,r,294,375,188,7
7271,3,22,0,y,164,375,188,7
7272,4,26,1,r,294,375,188,7
7273,5,34,1,y,164,375,188,7
7274,6,46,1,r,344,375,188,7
7275,7,53,1,y,347,375,188,7
7276,8,65,1,r,112,375,188,7
7277,9,76,1,y,347,375,188,7
7278,10,91,3,r,112,375,188,7
7279,11,99,3,y,113,375,188,7
7280,12,104,3,r,112,375,188,7
7281,13,110,3,y,113,375,188,7
7282,14,120,3,r,347,375,188,7
7283,15,128,5,y,344,375,188,7
7284,16,141,5,r,112,375,188,7
7285,17,146,5,y,344,375,188,7
7286,18,158,5,r,294,375,188,7
7287,19,165,6,y,344,375,188,7
7288,20,180,6,r,294,375,188,7
7289,1,6,0,r,304,376,188,7
7290,2,15,0,y,78,376,188,7
7291,3,22,0,r,304,376,188,7
7292,4,30,0,y,78,376,188,7
7293,5,44,0,r,330,376,188,7
7294,6,56,0,y,296,376,188,7
7295,7,68,1,r,236,376,188,7
7296,8,74,1,y,296,376,188,7
7297,9,79,1,r,236,376,188,7
7298,10,86,1,y,296,376,188,7
7299,11,98,1,r,236,376,188,7
7300,12,113,1,y,330,376,188,7
7301,13,120,2,r,304,376,188,7
7302,14,131,2,y,296,376,188,7
7303,15,141,2,r,304,376,188,7
7304,16,142,4,y,78,376,188,7
7305,17,146,5,r,330,376,188,7
7306,18,153,5,y,78,376,188,7
7307,19,167,5,r,330,376,188,7
7308,20,180,5,y,236,376,188,7
